# timestamp tx ty tz qx qy qz qw
1.546321726932898045e+09 4.884337802672917839e+00 -5.545387122781856526e+00 2.174119089200158061e+00 8.583825433029560470e-01 3.155435205071461247e-01 -4.037414107623266690e-01 2.458799004293317145e-02
1.546321727332334995e+09 4.816218132881514791e+00 -5.299028887211512107e+00 2.363042520970783933e+00 8.577042120886319010e-01 3.126368619080129307e-01 -4.075447971924937574e-01 2.255915386396822181e-02
1.546321727632867098e+09 4.751831662183025884e+00 -5.065745936179678388e+00 2.516659646563386143e+00 8.582477191431375774e-01 3.090606192844574385e-01 -4.097102757350634672e-01 5.465907994837351271e-03
1.546321727933243036e+09 4.696877437195448479e+00 -4.825027514016054120e+00 2.687044132598624735e+00 8.588098244398081338e-01 3.042118880739318465e-01 -4.121292259473333663e-01 -7.093216492629452266e-03
1.546321728332930088e+09 4.657983194408283900e+00 -4.552370602534558053e+00 2.911421003457701939e+00 8.735497590640479704e-01 2.793288526152937767e-01 -3.985746334753878517e-01 -4.946926897320622248e-03
1.546321728732569933e+09 4.668379999616319331e+00 -4.376820417869152990e+00 3.078430046881654114e+00 8.979669727260871648e-01 2.527752432787321313e-01 -3.601481379743338707e-01 7.301437676543094148e-03
1.546321729132083893e+09 4.705745837673473098e+00 -4.246912705205025063e+00 3.224282788661222643e+00 9.187849886083787609e-01 2.292362773122662567e-01 -3.211372632542692229e-01 1.247926365910115645e-02
1.546321729432457924e+09 4.734733440678339456e+00 -4.155680452473946573e+00 3.346860408550158539e+00 9.314386986561654647e-01 2.050165054411892118e-01 -3.000288800277706724e-01 1.930943530177647166e-02
1.546321729732855082e+09 4.766593471036276064e+00 -4.070718780966319450e+00 3.467206382415104926e+00 9.422329630566096403e-01 1.856677029328710482e-01 -2.767491155644129508e-01 3.368196032757016234e-02
1.546321730132754087e+09 4.787991498799070378e+00 -3.947950084925426317e+00 3.593863850923354697e+00 9.530871676741635712e-01 1.713249363954837123e-01 -2.429570381404741186e-01 5.696046525382892495e-02
1.546321730432959080e+09 4.754477404452010170e+00 -3.801094783440994274e+00 3.663548582057585712e+00 9.606159303325023657e-01 1.517591483357881021e-01 -2.281329670013567679e-01 4.627682632781747463e-02
1.546321730832488060e+09 4.671798513783559592e+00 -3.573649134864192334e+00 3.732287637388492563e+00 9.691269982772657832e-01 1.280386646061828781e-01 -2.050925941967293165e-01 4.833207404630712051e-02
1.546321731132734060e+09 4.584786188213765712e+00 -3.382042945494331931e+00 3.760808196642960066e+00 9.737360988666639017e-01 1.132737767099860349e-01 -1.903222441646982288e-01 5.276840579266741521e-02
1.546321731532191038e+09 4.439651990769567291e+00 -3.087792077410987712e+00 3.758087427112665413e+00 9.783894821531188279e-01 9.084864238782544565e-02 -1.803250898120561663e-01 4.453546196813344682e-02
1.546321731832207918e+09 4.327364315995024135e+00 -2.918755463639908232e+00 3.678326934104854562e+00 9.797962773834073547e-01 8.282308337707562640e-02 -1.734420451099465132e-01 5.529420108483703439e-02
1.546321732132688999e+09 4.213070117724390329e+00 -2.750460714973509191e+00 3.529515573090681979e+00 9.842484180231872992e-01 7.365429044945537296e-02 -1.523896179739453183e-01 5.106369993444784261e-02
1.546321732532290936e+09 4.041338644137485225e+00 -2.489477715724516038e+00 3.295805613705145909e+00 9.885779420037787979e-01 5.380901180180066440e-02 -1.360969067357366002e-01 3.599826120038707861e-02
1.546321732832952023e+09 3.913705538026179820e+00 -2.285635356413019625e+00 3.122055828089772778e+00 9.912142145758732203e-01 4.331531563842039995e-02 -1.211352133885876259e-01 3.073148761743010535e-02
1.546321733231842041e+09 3.743348975878074025e+00 -2.032625039870925132e+00 2.894450704626965187e+00 9.952776287709917957e-01 1.932786445239333128e-02 -8.827229440151315720e-02 3.545246627238230613e-02
1.546321733532486916e+09 3.603738414553498082e+00 -1.827881262004472207e+00 2.747810017877536204e+00 9.967897002781348492e-01 -2.739953666643646368e-03 -7.118576405670293261e-02 3.654275672406445685e-02
1.546321733832551956e+09 3.462008937463914027e+00 -1.612863629084053674e+00 2.619433625049357506e+00 9.975180572245334609e-01 -1.115564823796295728e-02 -5.499090008815425701e-02 4.253560779955770088e-02
1.546321734132555008e+09 3.303284996370158044e+00 -1.385652355753609566e+00 2.498983398445811854e+00 9.968407471813431897e-01 -1.751117394744396843e-02 -5.723170412550135366e-02 5.221508966586833195e-02
1.546321734532512903e+09 3.081680983286544606e+00 -1.084185937090746288e+00 2.282672862242982159e+00 9.974540972071658240e-01 -2.482309330172834116e-02 -6.412655339298904689e-02 1.889240994440549368e-02
1.546321734932389975e+09 2.882930887548448506e+00 -8.820864742619326515e-01 2.054793072490084249e+00 9.977474757684978712e-01 -2.293631741840796920e-02 -6.299770164843411513e-02 2.278053530499776422e-03
